partition,train,test,train (fs),test (fs),SPLIT,TTF
"0-4, 5-14, 15-27",96.85598377281947,70.85714285714285,96.65314401622717,71.42857142857143,False,0
"0, 1-9, 10-19, 20-27",96.45030425963489,69.71428571428572,96.14604462474645,66.28571428571428,False,0
"0-4, 5-9, 10-14, 15-27",95.74036511156187,57.14285714285714,95.131845841785,59.42857142857143,False,0
base,94.52332657200812,50.28571428571429,94.52332657200812,53.714285714285715,False,0
"0, 1-4, 5-9, 10-14, 15-19, 20-27",95.23326572008114,45.714285714285715,94.52332657200812,45.714285714285715,False,0
"0-4, 5-14, 15-27",96.80082559339526,56.25,96.59442724458205,60.416666666666664,True,0
"0, 1-9, 10-19, 20-27",96.28482972136223,46.875,95.97523219814241,45.83333333333333,True,0
"0-4, 5-9, 10-14, 15-27",94.94324045407637,39.58333333333333,94.53044375644994,39.0625,True,0
base,94.11764705882352,26.5625,93.91124871001033,28.645833333333332,True,0
"0, 1-4, 5-9, 10-14, 15-19, 20-27",93.80804953560371,27.083333333333332,93.2920536635707,32.29166666666667,True,0
"0-4, 5-14, 15-27",96.83794466403161,66.44295302013423,96.6403162055336,67.78523489932886,True,1
"0, 1-9, 10-19, 20-27",96.34387351778656,67.78523489932886,96.04743083003953,63.758389261744966,True,1
"0-4, 5-9, 10-14, 15-27",95.0592885375494,46.308724832214764,94.66403162055336,47.651006711409394,True,1
base,94.26877470355731,48.322147651006716,93.87351778656127,46.97986577181208,True,1
"0, 1-4, 5-9, 10-14, 15-19, 20-27",93.97233201581028,45.63758389261745,93.47826086956522,42.281879194630875,True,1
"0-4, 5-14, 15-27",96.75262655205348,67.54385964912281,96.4660936007641,70.17543859649122,True,2
"0, 1-9, 10-19, 20-27",96.27507163323781,64.03508771929825,95.98853868194843,65.78947368421053,True,2
"0-4, 5-9, 10-14, 15-27",94.84240687679083,51.75438596491229,94.36485195797518,50.0,True,2
base,94.1738299904489,43.859649122807014,93.79178605539637,46.49122807017544,True,2
"0, 1-4, 5-9, 10-14, 15-19, 20-27",93.79178605539637,44.73684210526316,93.02769818529131,45.614035087719294,True,2
"0-4, 5-14, 15-27",96.84014869888475,68.23529411764706,96.56133828996283,67.05882352941175,True,3
"0, 1-9, 10-19, 20-27",96.37546468401487,69.41176470588235,96.09665427509294,64.70588235294117,True,3
"0-4, 5-9, 10-14, 15-27",94.9814126394052,54.11764705882353,94.33085501858736,54.11764705882353,True,3
base,94.33085501858736,45.88235294117647,93.95910780669145,47.05882352941176,True,3
"0, 1-4, 5-9, 10-14, 15-19, 20-27",93.95910780669145,48.23529411764706,93.21561338289963,42.35294117647059,True,3
"0-4, 5-14, 15-27",96.8978102189781,61.53846153846154,96.62408759124088,64.61538461538461,True,4
"0, 1-9, 10-19, 20-27",96.35036496350365,76.92307692307693,96.07664233576642,73.84615384615385,True,4
"0-4, 5-9, 10-14, 15-27",94.98175182481752,50.76923076923077,94.34306569343066,50.76923076923077,True,4
base,94.34306569343066,52.307692307692314,93.97810218978103,53.84615384615385,True,4
"0, 1-4, 5-9, 10-14, 15-19, 20-27",93.97810218978103,44.61538461538462,93.24817518248175,43.07692307692308,True,4
