partition,train,test,train (fs),test (fs),SPLIT,TTF
"0-4, 5-14, 15-27",97.05882352941177,66.85714285714286,97.05882352941177,65.14285714285715,False,0
"0, 1-9, 10-19, 20-27",96.65314401622717,65.71428571428571,96.65314401622717,66.85714285714286,False,0
"0-4, 5-9, 10-14, 15-27",96.0446247464503,56.00000000000001,96.0446247464503,55.42857142857143,False,0
base,94.9290060851927,48.0,94.9290060851927,48.0,False,0
"0, 1-4, 5-9, 10-14, 15-19, 20-27",95.43610547667343,44.57142857142857,95.43610547667343,44.0,False,0
"0-4, 5-14, 15-27",96.80082559339526,57.291666666666664,96.80082559339526,56.770833333333336,True,0
"0, 1-9, 10-19, 20-27",96.38802889576883,45.83333333333333,96.38802889576883,44.27083333333333,True,0
"0-4, 5-9, 10-14, 15-27",95.04643962848297,36.45833333333333,95.04643962848297,32.8125,True,0
base,94.42724458204334,29.166666666666668,94.42724458204334,26.5625,True,0
"0, 1-4, 5-9, 10-14, 15-19, 20-27",93.91124871001033,34.89583333333333,93.91124871001033,34.375,True,0
"0-4, 5-14, 15-27",96.93675889328063,59.73154362416108,96.93675889328063,62.41610738255034,True,1
"0, 1-9, 10-19, 20-27",96.54150197628458,51.006711409395976,96.54150197628458,51.006711409395976,True,1
"0-4, 5-9, 10-14, 15-27",95.25691699604744,41.61073825503356,95.25691699604744,36.91275167785235,True,1
base,94.66403162055336,36.241610738255034,94.66403162055336,34.899328859060404,True,1
"0, 1-4, 5-9, 10-14, 15-19, 20-27",94.1699604743083,37.58389261744966,94.1699604743083,38.92617449664429,True,1
"0-4, 5-14, 15-27",96.84813753581662,59.64912280701754,96.84813753581662,61.40350877192983,True,2
"0, 1-9, 10-19, 20-27",96.4660936007641,55.26315789473685,96.4660936007641,50.0,True,2
"0-4, 5-9, 10-14, 15-27",95.03342884431709,36.84210526315789,95.03342884431709,34.21052631578947,True,2
base,94.55587392550143,43.859649122807014,94.55587392550143,41.228070175438596,True,2
"0, 1-4, 5-9, 10-14, 15-19, 20-27",93.98280802292264,40.35087719298245,93.98280802292264,38.59649122807017,True,2
"0-4, 5-14, 15-27",96.93308550185874,64.70588235294117,96.93308550185874,64.70588235294117,True,3
"0, 1-9, 10-19, 20-27",96.56133828996283,57.647058823529406,96.56133828996283,54.11764705882353,True,3
"0-4, 5-9, 10-14, 15-27",95.16728624535315,38.82352941176471,95.16728624535315,36.470588235294116,True,3
base,94.70260223048327,41.17647058823529,94.70260223048327,43.529411764705884,True,3
"0, 1-4, 5-9, 10-14, 15-19, 20-27",94.14498141263941,35.294117647058826,94.14498141263941,40.0,True,3
"0-4, 5-14, 15-27",96.98905109489051,63.07692307692307,96.98905109489051,63.07692307692307,True,4
"0, 1-9, 10-19, 20-27",96.53284671532847,66.15384615384615,96.53284671532847,69.23076923076923,True,4
"0-4, 5-9, 10-14, 15-27",95.16423357664233,43.07692307692308,95.16423357664233,40.0,True,4
base,94.7080291970803,49.23076923076923,94.7080291970803,47.69230769230769,True,4
"0, 1-4, 5-9, 10-14, 15-19, 20-27",94.16058394160584,43.07692307692308,94.16058394160584,44.61538461538462,True,4
