partition,train,test,train (fs),test (fs),SPLIT,TTF
"0-4, 5-14, 15-27",97.16024340770791,65.71428571428571,97.05882352941177,66.85714285714286,False,0
"0, 1-9, 10-19, 20-27",96.75456389452333,68.57142857142857,96.65314401622717,65.71428571428571,False,0
"0-4, 5-9, 10-14, 15-27",96.14604462474645,58.285714285714285,96.0446247464503,55.42857142857143,False,0
base,95.131845841785,47.42857142857143,94.9290060851927,48.0,False,0
"0, 1-4, 5-9, 10-14, 15-19, 20-27",95.63894523326572,42.285714285714285,95.43610547667343,44.0,False,0
"0-4, 5-14, 15-27",96.90402476780186,52.083333333333336,96.80082559339526,56.25,True,0
"0, 1-9, 10-19, 20-27",96.59442724458205,45.83333333333333,96.38802889576883,47.91666666666667,True,0
"0-4, 5-9, 10-14, 15-27",95.14963880288958,32.29166666666667,95.04643962848297,32.8125,True,0
base,94.63364293085655,26.041666666666668,94.42724458204334,32.8125,True,0
"0, 1-4, 5-9, 10-14, 15-19, 20-27",94.22084623323013,31.25,93.91124871001033,34.375,True,0
"0-4, 5-14, 15-27",97.03557312252964,56.375838926174495,96.93675889328063,60.40268456375839,True,1
"0, 1-9, 10-19, 20-27",96.73913043478261,54.36241610738255,96.54150197628458,48.322147651006716,True,1
"0-4, 5-9, 10-14, 15-27",95.35573122529645,38.25503355704698,95.25691699604744,36.91275167785235,True,1
base,94.86166007905138,38.92617449664429,94.66403162055336,36.91275167785235,True,1
"0, 1-4, 5-9, 10-14, 15-19, 20-27",94.46640316205533,37.58389261744966,94.1699604743083,38.92617449664429,True,1
"0-4, 5-14, 15-27",96.94364851957975,60.526315789473685,96.84813753581662,62.28070175438597,True,2
"0, 1-9, 10-19, 20-27",96.65711556829035,54.385964912280706,96.4660936007641,49.122807017543856,True,2
"0-4, 5-9, 10-14, 15-27",95.12893982808023,33.33333333333333,95.03342884431709,34.21052631578947,True,2
base,94.7468958930277,39.473684210526315,94.55587392550143,36.84210526315789,True,2
"0, 1-4, 5-9, 10-14, 15-19, 20-27",94.26934097421203,35.96491228070175,93.98280802292264,38.59649122807017,True,2
"0-4, 5-14, 15-27",97.02602230483272,62.35294117647059,96.93308550185874,61.1764705882353,True,3
"0, 1-9, 10-19, 20-27",96.74721189591078,55.294117647058826,96.56133828996283,58.82352941176471,True,3
"0-4, 5-9, 10-14, 15-27",95.26022304832715,38.82352941176471,95.16728624535315,37.64705882352941,True,3
base,94.88847583643123,40.0,94.70260223048327,43.529411764705884,True,3
"0, 1-4, 5-9, 10-14, 15-19, 20-27",94.42379182156134,37.64705882352941,94.14498141263941,40.0,True,3
"0-4, 5-14, 15-27",97.08029197080292,60.0,96.98905109489051,63.07692307692307,True,4
"0, 1-9, 10-19, 20-27",96.71532846715328,66.15384615384615,96.53284671532847,64.61538461538461,True,4
"0-4, 5-9, 10-14, 15-27",95.25547445255475,46.15384615384615,95.16423357664233,40.0,True,4
base,94.8905109489051,43.07692307692308,94.7080291970803,44.61538461538462,True,4
"0, 1-4, 5-9, 10-14, 15-19, 20-27",94.43430656934306,49.23076923076923,94.16058394160584,44.61538461538462,True,4
